p,q,distance,px,py,pz,qx,qy,qz
77723,9922277,1.7009662953,1.209911,-1.272255,-1.228075,2.272202,-0.002487,0.106086
77543,9922457,1.7015982840,1.209158,-1.272649,-1.228206,2.272374,-0.002481,0.106097
77513,9922487,1.7017037084,1.209032,-1.272714,-1.228228,2.272403,-0.002480,0.106099
77471,9922529,1.7018513473,1.208856,-1.272806,-1.228259,2.272443,-0.002479,0.106101
77279,9922721,1.7025269324,1.208049,-1.273226,-1.228398,2.272627,-0.002473,0.106112
77261,9922739,1.7025903245,1.207973,-1.273265,-1.228411,2.272645,-0.002472,0.106114
77237,9922763,1.7026748623,1.207872,-1.273318,-1.228428,2.272668,-0.002472,0.106115
77093,9922907,1.7031824482,1.207264,-1.273633,-1.228532,2.272806,-0.002467,0.106123
76991,9923009,1.7035423615,1.206833,-1.273857,-1.228605,2.272904,-0.002464,0.106129
76943,9923057,1.7037118397,1.206630,-1.273962,-1.228639,2.272951,-0.002462,0.106132
76871,9923129,1.7039661859,1.206325,-1.274120,-1.228691,2.273020,-0.002460,0.106137
76829,9923171,1.7041146261,1.206147,-1.274212,-1.228721,2.273061,-0.002459,0.106139
76781,9923219,1.7042843365,1.205943,-1.274317,-1.228755,2.273107,-0.002457,0.106142
76631,9923369,1.7048151260,1.205306,-1.274647,-1.228861,2.273252,-0.002453,0.106151
76421,9923579,1.7055593653,1.204411,-1.275108,-1.229009,2.273455,-0.002446,0.106163
76379,9923621,1.7057083723,1.204232,-1.275201,-1.229038,2.273496,-0.002445,0.106166
76253,9923747,1.7061557121,1.203693,-1.275478,-1.229126,2.273618,-0.002441,0.106173
76103,9923897,1.7066888844,1.203050,-1.275808,-1.229231,2.273763,-0.002436,0.106182
75821,9924179,1.7076930927,1.201837,-1.276430,-1.229425,2.274038,-0.002428,0.106198
75653,9924347,1.7082924930,1.201112,-1.276801,-1.229540,2.274201,-0.002422,0.106208
75479,9924521,1.7089142077,1.200359,-1.277185,-1.229659,2.274371,-0.002417,0.106219
75377,9924623,1.7092790914,1.199916,-1.277411,-1.229728,2.274471,-0.002414,0.106225
75353,9924647,1.7093649927,1.199812,-1.277464,-1.229744,2.274495,-0.002413,0.106226
75347,9924653,1.7093864708,1.199786,-1.277477,-1.229748,2.274500,-0.002413,0.106227
75329,9924671,1.7094509117,1.199708,-1.277517,-1.229760,2.274518,-0.002412,0.106228
75149,9924851,1.7100958672,1.198924,-1.277915,-1.229881,2.274694,-0.002407,0.106238
74891,9925109,1.7110220419,1.197797,-1.278487,-1.230053,2.274947,-0.002399,0.106254
74729,9925271,1.7116046437,1.197087,-1.278846,-1.230160,2.275107,-0.002394,0.106263
74717,9925283,1.7116478317,1.197034,-1.278873,-1.230168,2.275119,-0.002393,0.106264
74561,9925439,1.7122096821,1.196349,-1.279219,-1.230270,2.275272,-0.002388,0.106273
74411,9925589,1.7127506358,1.195688,-1.279553,-1.230368,2.275420,-0.002384,0.106282
74297,9925703,1.7131622292,1.195184,-1.279806,-1.230442,2.275533,-0.002380,0.106289
74219,9925781,1.7134440794,1.194839,-1.279980,-1.230492,2.275610,-0.002378,0.106294
74177,9925823,1.7135959236,1.194653,-1.280073,-1.230519,2.275651,-0.002376,0.106296
74093,9925907,1.7138997775,1.194281,-1.280261,-1.230573,2.275734,-0.002374,0.106301
74027,9925973,1.7141386749,1.193988,-1.280408,-1.230616,2.275800,-0.002372,0.106305
73943,9926057,1.7144429236,1.193615,-1.280595,-1.230669,2.275883,-0.002369,0.106310
73877,9926123,1.7146821316,1.193321,-1.280742,-1.230711,2.275948,-0.002367,0.106314
73757,9926243,1.7151174062,1.192786,-1.281010,-1.230787,2.276068,-0.002363,0.106321
73607,9926393,1.7156621373,1.192116,-1.281344,-1.230882,2.276217,-0.002359,0.106330
73379,9926621,1.7164914901,1.191095,-1.281854,-1.231024,2.276444,-0.002352,0.106344
73331,9926669,1.7166663005,1.190879,-1.281961,-1.231054,2.276492,-0.002350,0.106346
73091,9926909,1.7175414503,1.189799,-1.282498,-1.231202,2.276731,-0.002343,0.106361
72959,9927041,1.7180235646,1.189203,-1.282794,-1.231283,2.276863,-0.002338,0.106369
72869,9927131,1.7183525978,1.188796,-1.282996,-1.231337,2.276953,-0.002336,0.106374
72701,9927299,1.7189674867,1.188034,-1.283373,-1.231439,2.277122,-0.002330,0.106384
72617,9927383,1.7192752706,1.187652,-1.283561,-1.231489,2.277206,-0.002328,0.106389
72503,9927497,1.7196933399,1.187133,-1.283817,-1.231557,2.277320,-0.002324,0.106396
72353,9927647,1.7202440686,1.186449,-1.284155,-1.231646,2.277471,-0.002320,0.106405
72167,9927833,1.7209279810,1.185598,-1.284573,-1.231756,2.277659,-0.002314,0.106416
71993,9928007,1.7215687842,1.184799,-1.284965,-1.231857,2.277834,-0.002308,0.106427
71867,9928133,1.7220334278,1.184220,-1.285249,-1.231930,2.277962,-0.002304,0.106434
71849,9928151,1.7220998476,1.184137,-1.285289,-1.231940,2.277980,-0.002304,0.106435
71663,9928337,1.7227868041,1.183279,-1.285709,-1.232047,2.278168,-0.002298,0.106446
71633,9928367,1.7228977093,1.183140,-1.285777,-1.232064,2.278199,-0.002297,0.106448
71597,9928403,1.7230308343,1.182973,-1.285858,-1.232084,2.278235,-0.002296,0.106450
71453,9928547,1.7235637587,1.182306,-1.286183,-1.232166,2.278381,-0.002292,0.106459
71387,9928613,1.7238082428,1.182000,-1.286332,-1.232203,2.278448,-0.002289,0.106463
71339,9928661,1.7239861392,1.181777,-1.286441,-1.232230,2.278497,-0.002288,0.106466
71261,9928739,1.7242753824,1.181414,-1.286617,-1.232273,2.278576,-0.002286,0.106470
70991,9929009,1.7252781563,1.180155,-1.287228,-1.232423,2.278852,-0.002277,0.106487
70901,9929099,1.7256129492,1.179733,-1.287432,-1.232472,2.278943,-0.002274,0.106492
70841,9929159,1.7258362935,1.179452,-1.287568,-1.232505,2.279005,-0.002272,0.106496
70823,9929177,1.7259033200,1.179368,-1.287609,-1.232515,2.279023,-0.002272,0.106497
70709,9929291,1.7263280710,1.178833,-1.287868,-1.232576,2.279140,-0.002268,0.106504
70583,9929417,1.7267980350,1.178240,-1.288154,-1.232644,2.279269,-0.002264,0.106511
70571,9929429,1.7268428210,1.178184,-1.288181,-1.232650,2.279281,-0.002264,0.106512
70373,9929627,1.7275824836,1.177249,-1.288631,-1.232756,2.279484,-0.002258,0.106524
70271,9929729,1.7279640330,1.176767,-1.288862,-1.232809,2.279589,-0.002255,0.106530
