p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
28619,28621,0.0000184443,-0.5040151450438674,0.8214953787759605,-0.9658698692166853,-0.5040230286798637,0.8214798648416336,-0.9658849926118447
28571,28573,0.0000184912,-0.5038423754626737,0.8218953419305509,-0.9655379624871575,-0.5038502853871442,0.8218798047203493,-0.9655531376608808
28547,28549,0.0000185147,-0.5037557538721885,0.8220955419545484,-0.9653715425012489,-0.5037636769831141,0.8220799930831088,-0.9653867436479612
28409,28411,0.0000186510,-0.5032545965120965,0.8232495286834551,-0.9644085517980975,-0.5032625959959807,0.8232339124567716,-0.9644239033815802
28349,28351,0.0000187107,-0.5030350524747853,0.8237527753020518,-0.9639866094942209,-0.5030430854596167,0.8237371296284663,-0.9640020270705039
28307,28309,0.0000187527,-0.5028807724514928,0.8241055959324849,-0.9636900690099838,-0.5028888289945014,0.8240899295872823,-0.9637055329944003
28277,28279,0.0000187828,-0.5027702690981037,0.8243578876126416,-0.9634776565621151,-0.5027783425228791,0.8243422064722538,-0.963493153803253
28181,28183,0.0000188797,-0.5024149509221938,0.825166776477009,-0.9627945715982327,-0.5024230786758614,0.8251510478247385,-0.9628101758700847
28109,28111,0.0000189529,-0.5021467444463408,0.8257750040585522,-0.9622788721352044,-0.5021549132563724,0.8257592396042104,-0.9622945572941789
28097,28099,0.0000189652,-0.5021018994205404,0.8258765058139834,-0.962192638508358,-0.5021100750992968,0.8258607353785475,-0.9622083372000676
27941,27943,0.0000191256,-0.5015151437090679,0.8271994358624016,-0.9610641697000195,-0.5015234093636793,0.8271835873044101,-0.9610800456705756
27917,27919,0.0000191505,-0.5014242484178039,0.8274035271062298,-0.9608893267991921,-0.5014325280282265,0.827387666468355,-0.9609052302682355
27791,27793,0.0000192820,-0.5009442869788718,0.8284774850565065,-0.95996595867894,-0.5009526403594691,0.8284615607301179,-0.9599820075109113
27749,27751,0.0000193261,-0.5007832628463464,0.8288363996653262,-0.9596561250963918,-0.500791641005955,0.8288204540084427,-0.9596722227573927
27737,27739,0.0000193388,-0.5007371601848073,0.828939032251554,-0.9595674124254712,-0.5007455454416128,0.8289230804909269,-0.9595835240722899
27689,27691,0.0000193895,-0.5005523225575559,0.8293499435323962,-0.9592117199941725,-0.5005607362811604,0.8293339673152645,-0.9592278877389799
27581,27583,0.0000195045,-0.5001339269444594,0.8302767290711642,-0.9584064618083314,-0.5001424051778808,0.8302606975828978,-0.9584227566849725
27539,27541,0.0000195495,-0.49997027279878115,0.8306379844210668,-0.9580914432755443,-0.49997877629258153,0.8306219313467516,-0.9581077879359133
27527,27529,0.0000195624,-0.49992341680546315,0.8307412867565691,-0.9580012454250527,-0.49993192753445076,0.8307252275053381,-0.958017604344917
